comparator,label,avg_value,avg_regret,avg_burden,avg_stability
stagewise_proxy,Stagewise,0.6839749439967784,0.14318390838894673,26.572518316000266,0.0
plugin_reward,Plug-in,0.7375443337810194,0.08961451860470569,32.82989109671276,0.0
dr_value_only,DR value only,0.7404690880725616,0.08668976431316347,23.33323271645309,0.13541666666666666
dr_lcb_beta_0.50,DR-LCB 0.50,0.7380559971015896,0.08910285528413543,22.24630012539803,0.13020833333333334
casp_lambda_0.050,CASP 0.05,0.7355358181627552,0.09162303422296982,19.799178829531527,0.10416666666666666
ma_style_two_stage_opl,Ma-style OPL,0.7456124115806799,0.08154644080504518,28.595331312655517,0.03645833333333333
wang_style_downstream_generator,Wang-style generator,0.7200503760116498,0.10710847637407532,30.447747946279335,0.3125
oracle,Oracle,0.8271588523857251,0.0,27.425992045849668,0.0
