lambda,label,dr_value,support_burden,ess_proxy,max_importance_weight,mode_frequency,unique_policies
0.0,lambda=0.000,0.8876102090231675,657740018.0795094,352.41268911000464,78.81971027451516,1.0,1
0.01,lambda=0.010,0.830849523843846,39.60583636452192,212.8599253272436,78.26886923761431,0.7,5
0.02,lambda=0.020,0.830849523843846,39.60583636452192,212.8599253272436,78.26886923761431,0.7,4
0.05,lambda=0.050,0.8308484578384967,39.60459120662669,212.8599253272436,78.26886923761431,0.55,5
0.1,lambda=0.100,0.8308459271660885,39.60222157787345,212.8599253272436,78.26886923761431,0.5,6
0.2,lambda=0.200,0.829786365184858,39.37066895273892,229.61893751654515,77.15692462009073,0.45,6
